time,location,adjusted_level,adjusted_storage,ndwi_at,ndwi_up,ndwi_dn,ndwi_all,snow_at,snow_up,snow_dn,snow_all
2019-09-20,Hirakud,191.97,4.786,0.05037985973964754,0.03950611684066942,0.050062942,0.04798478648339624,0.0,0.0,0.0,0.0
2019-09-21,Hirakud,192.02,4.823,0.029785678864797785,0.02514248519639663,0.023740876,0.027274483799745935,0.1696301943363827,0.18654188607970446,0.15349422168674698,0.16916672866440763
2019-09-22,Hirakud,192.0,4.806,0.03700411864293189,0.024226536971004835,0.0347439,0.033714200567823704,0.0,0.0,0.0,0.0
2019-09-23,Hirakud,192.01,4.818,0.02691649852391033,0.06809633915169841,0.049591061,0.041395807665937034,0.0,0.0,4.400785241,1.1084673766601578
2019-09-24,Hirakud,192.01,4.818,0.024168264910593883,0.013883407582844051,0.081859966,0.0365097569033477,0.0,0.0,0.0,0.0
2019-09-25,Hirakud,192.01,4.818,0.10477002585876316,0.14114995500351102,0.05616876,0.10027441644695886,0.15943147186234252,0.19107455845233604,0.12923981584615385,0.15856429165279387
2019-09-26,Hirakud,192.02,4.823,0.020992130947354692,0.049643618424930175,0.026510062,0.028482487705863428,0.0,0.0,0.0,0.0
2019-09-27,Hirakud,192.02,4.823,0.043596677264534325,0.04628628270412488,0.036874042,0.042476057049673666,0.4440069810647188,0.4092714765047029,0.0,0.3247748275143208
2019-09-28,Hirakud,192.02,4.823,0.08981837037280065,0.08119370216890079,0.044316973,0.07652113035783994,0.0,0.0,0.0,0.0
2019-09-29,Hirakud,192.0,4.809,0.0748113791064911,0.1299147241839919,0.034717086,0.07644510973864765,0.0,0.0,0.0,0.0
2019-09-30,Hirakud,192.02,4.823,0.06204346635606467,0.06212328972441644,0.06196730439024391,0.06204127879306896,0.0,0.0,0.0,0.0
2019-10-01,Hirakud,192.01,4.818,0.03756306463141105,0.021649236940199684,0.036267696,0.03384839981660773,0.0030346533743770415,0.0,0.0,0.0016241451192837016
2019-10-02,Hirakud,191.83,4.697,0.08107950539980498,0.06312827242480618,0.030470175,0.06450986053254261,0.0703586536419696,3.131772490861738,0.045421948,0.7159168992469737
2019-10-03,Hirakud,191.83,4.701,0.03153102769045199,0.020823525261883025,0.0322431,0.029430531971183088,0.0,0.0,0.0,0.0
2019-10-04,Hirakud,191.86166666666668,4.721333333333333,0.06280363268713035,0.045438208717886217,0.06091587,0.05863068065382069,0.09798676111545779,0.0,0.026302076,0.059067422919816606
2019-10-05,Hirakud,191.89333333333335,4.741666666666666,0.029165420225022123,0.021217274258178834,0.023662114,0.026086923295506496,0.007163760986817849,0.0,0.002189016,0.004385409805270326
2019-10-06,Hirakud,191.925,4.7620000000000005,0.06925966623440546,0.045932094216143735,0.068542137,0.06411200544981717,0.20579143228545596,0.006607755247195466,0.011787089,0.11451533724343327
2019-10-07,Hirakud,191.95666666666668,4.782333333333334,0.02380958278599806,0.022139973452502387,0.019912298,0.022472441942751067,0.0,0.0,0.0,0.0
2019-10-08,Hirakud,191.98833333333334,4.802666666666667,0.018968601010429895,0.02375600907774382,0.056214899,0.02936951785549829,0.0,0.0,0.037120073,0.009349783660516406
2019-10-09,Hirakud,192.02,4.823,0.023741090115183675,0.04333762774704514,0.032825618,0.03020181037317244,0.0,0.0,0.0,0.0
2019-10-10,Hirakud,192.02,4.823,0.03706998186023737,0.0139338743729723,0.040658626,0.03304772448611283,0.0010626559765645601,0.0,0.020872498,0.005826086366669382
2019-10-11,Hirakud,192.02,4.823,0.07458241531678844,0.04996886691641504,0.061527526,0.06605341565588924,0.03349045387599191,0.03970970829700153,0.0,0.02637910655071643
2019-10-12,Hirakud,192.02,4.823,0.01671840093261233,0.004533354898348439,0.014039606,0.013449215370162986,0.0,0.0,0.001888617,0.0004757038157649504
2019-10-13,Hirakud,192.02,4.823,0.0487299395026657,0.028770532756316775,0.053459465,0.04567143299209952,0.0,0.0,0.0,0.0
2019-10-14,Hirakud,192.02,4.823,0.015418512301331018,0.00688764301680363,0.01032201,0.012318406891019795,0.0,0.0,0.0,0.0
2019-10-15,Hirakud,192.02,4.823,0.033155895361458965,0.008458674481285053,0.041788921,0.030071820215439044,0.0,0.0,0.0,0.0
2019-10-16,Hirakud,192.02,4.823,0.03909286062928789,0.04333991291127354,0.03504061556097561,0.03897646997070338,0.0,0.0,0.0,0.0
2019-10-17,Hirakud,192.02,4.823,0.017497396769938438,0.00345919994330099,0.023865474,0.01611235769774292,0.0,0.0,0.0,0.0
2019-10-18,Hirakud,192.02,4.823,0.047577382921600186,0.044500178729084655,0.031389857,0.04284487636908262,0.0,2.938665502350738,0.0,0.6257035914095755
2019-10-19,Hirakud,192.02,4.823,0.012708609031172532,0.008001540111689305,0.00798358,0.0105162374944293,0.0,0.0,0.0,0.0
2019-10-20,Hirakud,192.02,4.823,0.03968940063216784,0.033286890181759995,0.038686977,0.03807368180211525,0.0,0.0,0.0,0.0
2019-10-21,Hirakud,192.02,4.823,0.012727797851831084,0.008301262298558742,0.009614284,0.01100106532029722,0.0,0.0,0.0,0.0
2019-10-22,Hirakud,192.02,4.823,0.039717271354604906,0.024833036038897426,0.030584224,0.0342476781509449,0.0,0.012058335745059743,0.0,0.0025674728804863578
2019-10-23,Hirakud,192.02,4.823,0.020423901672013613,0.010248894408264443,0.09775201,0.03773479055249742,0.0,0.0,0.0,0.0
2019-10-24,Hirakud,192.02,4.823,0.08993124443290604,0.043786454162815666,0.145703916,0.09415403961183,0.013601475822124686,0.0,0.028672201333333334,0.014501442105575581
2019-10-25,Hirakud,192.01857142857145,4.822285714285715,0.025651447949188368,0.02939727082786925,0.032855143,0.028263475059370352,1.267783288135666,1.3941780037118818,1.1471861471428573,1.2643194352770806
2019-10-26,Hirakud,192.01714285714286,4.821571428571429,0.013167192552761369,0.011731795384252156,0.017914557,0.014057329912526867,0.0,0.0,0.0,0.0
2019-10-27,Hirakud,192.0157142857143,4.820857142857143,0.04029482804840723,0.02520093622333771,0.048202382,0.03907277189722322,0.0,0.0,0.0,0.0
2019-10-28,Hirakud,192.0142857142857,4.820142857142857,0.003216676769263669,-0.0030530769589014227,0.01788241,0.005575711403837925,0.0,0.0,0.0,0.0
2019-10-29,Hirakud,192.01285714285714,4.819428571428571,0.03573780175649817,0.015889110411034284,0.04486646,0.03381092002674381,0.0,0.0,0.0,0.0
2019-10-30,Hirakud,192.01142857142855,4.818714285714285,0.00470845762404042,-0.007757858099197869,0.01076509,0.0035796584857376553,0.0,0.0,0.0,0.0
2019-10-31,Hirakud,192.01,4.818,0.012768753518444673,-0.008144640609726398,0.048664051,0.017357140643707282,0.0,0.0,0.0,0.0
2019-11-01,Hirakud,191.98,4.798,0.013561260538193957,0.017606527338429625,0.009701545292682922,0.013450399819801907,0.0,0.0,0.0,0.0
2019-11-02,Hirakud,191.96,4.782,-0.00897790699709805,-0.023021851303514702,0.015867986,-0.0057099877113609525,0.0,0.0,0.0,0.0
